number,crime,lat,long,date,Nbh_ID,Loc_type_ID,beat_ID
100111262.0,Larceny-From Vehicle,33.71691,-84.39276,2010-01-11,1,1,1
100132212.0,Larceny-From Vehicle,33.77386,-84.3631,2010-01-13,2,1,2
100132067.0,Burglary-Residence,33.70103,-84.45746,2010-01-13,3,1,3
100230665.0,Burglary-Nonres,33.75811,-84.50389,2010-01-23,4,1,4
100071177.0,Auto Theft,33.67826,-84.51892,2010-01-07,5,1,5
100301808.0,Agg Assault,33.8278,-84.3563,2010-01-30,6,1,6
100110279.0,Auto Theft,33.7125,-84.44815,2010-01-11,7,1,7
100030089.0,Robbery-Pedestrian,33.74107,-84.50997,2010-01-03,8,1,4
100111164.0,Burglary-Residence,33.81973,-84.37137,2010-01-11,9,2,8
100160482.0,Robbery-Pedestrian,33.84064,-84.37653,2010-01-16,10,1,9
100241293.0,Larceny-From Vehicle,33.65674,-84.5076,2010-01-24,11,3,5
100231979.0,Burglary-Residence,33.72611,-84.44437,2010-01-23,12,1,10
100170208.0,Burglary-Residence,33.70199,-84.3827,2010-01-17,13,1,11
100300454.0,Larceny-Non Vehicle,33.78697,-84.38959,2010-01-30,14,1,12
100301564.0,Larceny-From Vehicle,33.75387,-84.39261,2010-01-30,15,4,13
100051687.0,Burglary-Residence,33.72928,-84.41029,2010-01-05,16,1,14
100301292.0,Burglary-Nonres,33.82369,-84.35057,2010-01-30,17,5,15
100040487.0,Burglary-Residence,33.73211,-84.3841,2010-01-04,18,1,16
100271009.0,Agg Assault,33.69598,-84.5183,2010-01-27,19,6,17
100231078.0,Larceny-From Vehicle,33.79946,-84.41267,2010-01-23,20,1,18
100191437.0,Burglary-Residence,33.70149,-84.49724,2010-01-19,21,1,19
100232110.0,Burglary-Residence,33.65094,-84.35584,2010-01-24,22,1,20
100291083.0,Burglary-Residence,33.73646,-84.44127,2010-01-29,23,1,21
100191226.0,Larceny-From Vehicle,33.78179,-84.37941,2010-01-19,14,1,22
100151388.0,Larceny-From Vehicle,33.69168,-84.4872,2010-01-15,24,7,23
100180361.0,Agg Assault,33.74772,-84.36551,2010-01-18,25,1,24
100191482.0,Auto Theft,33.73364,-84.50386,2010-01-19,26,4,4
